Timestamp;Actual_Consumption;Forecast_Value;Lower_Bound;Upper_Bound
2024-10-03 11:00:00;8260,825;8005,697;7869,155;8142,239
2024-10-03 12:00:00;8176,547;8062,850;7926,308;8199,392
2024-10-03 13:00:00;8185,412;8228,369;8091,827;8364,911
2024-10-03 14:00:00;8079,291;8033,306;7896,764;8169,848
2024-10-03 15:00:00;8130,055;8026,887;7890,345;8163,429
2024-10-03 16:00:00;8088,996;8197,393;8060,851;8333,935
2024-10-03 17:00:00;8132,817;8254,147;8117,605;8390,689
2024-10-03 18:00:00;8230,072;8161,628;8025,086;8298,170
2024-10-03 19:00:00;8011,471;7310,522;7173,980;7447,064
2024-10-03 20:00:00;7499,436;6884,445;6747,903;7020,987
2024-10-03 21:00:00;6894,050;6709,554;6573,012;6846,096
2024-10-03 22:00:00;6576,669;6173,604;6037,062;6310,146
2024-10-03 23:00:00;6078,872;5708,661;5572,119;5845,203
2024-10-04 00:00:00;5833,669;5495,451;5358,909;5631,993
2024-10-04 01:00:00;5594,747;5574,213;5437,671;5710,755
2024-10-04 02:00:00;5489,295;5471,514;5334,972;5608,056
2024-10-04 03:00:00;5436,408;5486,764;5350,222;5623,306
2024-10-04 04:00:00;5587,646;6039,120;5902,578;6175,662
2024-10-04 05:00:00;6204,459;7355,389;7218,847;7491,931
2024-10-04 06:00:00;7368,656;8197,831;8061,289;8334,373
2024-10-04 07:00:00;8219,894;8568,457;8431,915;8704,999
2024-10-04 08:00:00;8571,670;8588,338;8451,796;8724,880
2024-10-04 09:00:00;8580,565;8581,100;8444,558;8717,642
2024-10-04 10:00:00;8650,369;8596,521;8459,979;8733,063
2024-10-04 11:00:00;8484,803;8152,638;8016,096;8289,180
2024-10-04 12:00:00;8231,837;8056,427;7919,885;8192,969
2024-10-04 13:00:00;8043,624;7919,419;7782,877;8055,961
2024-10-04 14:00:00;7855,956;7803,068;7666,526;7939,610
2024-10-04 15:00:00;7774,346;7691,123;7554,581;7827,665
2024-10-04 16:00:00;7793,272;7874,871;7738,329;8011,413
2024-10-04 17:00:00;7908,416;8004,796;7868,254;8141,338
2024-10-04 18:00:00;7972,244;7872,717;7736,175;8009,259
2024-10-04 19:00:00;7771,730;7153,830;7017,288;7290,372
2024-10-04 20:00:00;7243,249;6654,510;6517,968;6791,052
2024-10-04 21:00:00;6646,172;6318,188;6181,646;6454,730
2024-10-04 22:00:00;6384,060;5926,639;5790,097;6063,181
2024-10-04 23:00:00;5913,145;5684,404;5547,862;5820,946
2024-10-05 00:00:00;5652,447;5388,971;5252,429;5525,513
2024-10-05 01:00:00;5382,863;5235,659;5099,117;5372,201
2024-10-05 02:00:00;5255,316;5144,170;5007,628;5280,712
2024-10-05 03:00:00;5123,705;5147,117;5010,575;5283,659
2024-10-05 04:00:00;5120,403;5348,479;5211,937;5485,021
2024-10-05 05:00:00;5328,879;5977,489;5840,947;6114,031
2024-10-05 06:00:00;5750,797;5988,189;5851,647;6124,731
2024-10-05 07:00:00;6148,203;6368,895;6232,353;6505,437
2024-10-05 08:00:00;6523,665;6839,807;6703,265;6976,349
2024-10-05 09:00:00;6620,354;6725,820;6589,278;6862,362
2024-10-05 10:00:00;6597,410;6312,255;6175,713;6448,797
2024-10-05 11:00:00;6566,447;6340,702;6204,160;6477,244
2024-10-05 12:00:00;6373,916;6410,741;6274,199;6547,283
2024-10-05 13:00:00;6226,239;6058,188;5921,646;6194,729
2024-10-05 14:00:00;6155,252;6177,519;6040,977;6314,061
2024-10-05 15:00:00;6293,854;6563,249;6426,707;6699,791
2024-10-05 16:00:00;6433,275;6685,841;6549,299;6822,383
